<p>
R	LS	r
more	RBR	more
hostile	JJ	hostile
to	TO	to
immigrants	NNS	immigrant
.	SENT	.
Over	IN	over
protestations	NNS	protestation
from	IN	from
the	DT	the
government	NN	government
,	,	,
her	PP$	her
challenge	NN	challenge
to	TO	to
her	PP$	her
detention	NN	detention
was	VBD	be
granted	VBN	grant
in	IN	in
Vermont	NP	Vermont
.	SENT	.
<p>
The	DT	the
decision	NN	decision
,	,	,
and	CC	and
the	DT	the
stark	JJ	stark
language	NN	language
from	IN	from
the	DT	the
judge	NN	judge
,	,	,
was	VBD	be
the	DT	the
latest	JJS	late
to	TO	to
cut	VB	cut
against	IN	against
the	DT	the
Trump	NP	Trump
administration	NN	administration
'	POS	'
s	NN	S
efforts	NNS	effort
to	TO	to
crack	VB	crack
down	RP	down
on	IN	on
so-called	JJ	so-called
antisemitism	NN	<unknown>
on	RB	on
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
who	WP	who
participated	VBD	participate
in	IN	in
protests	NNS	protest
against	IN	against
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
war	NN	war
in	IN	in
Gaza	NP	Gaza
or	CC	or
who	WP	who
expressed	VBD	express
sympathy	NN	sympathy
with	IN	with
Palestinians	NPS	Palestinians
and	CC	and
then	RB	then
placing	VBG	place
them	PP	them
in	IN	in
detention	NN	detention
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
?	SENT	?
zt	NN	zt
?	SENT	?
rk	NN	rk
is	VBZ	be
the	DT	the
second	JJ	second
student	NN	student
targeted	VBN	target
by	IN	by
the	DT	the
Trump	NP	Trump
administration	NN	administration
to	TO	to
be	VB	be
released	VBN	release
from	IN	from
detention	NN	detention
while	IN	while
their	PP$	their
case	NN	case
proceeds	NNS	proceed
.	SENT	.
<p>
Mohsen	NP	Mohsen
Mahdawi	NP	<unknown>
,	,	,
a	DT	a
Columbia	NP	Columbia
University	NP	University
student	NN	student
with	IN	with
permanent	JJ	permanent
legal	JJ	legal
status	NN	status
,	,	,
was	VBD	be
released	VBN	release
from	IN	from
detention	NN	detention
in	IN	in
Minnesota	NP	Minnesota
after	IN	after
a	DT	a
judge	NN	judge
ruled	VBD	rule
that	IN	that
the	DT	the
case	NN	case
against	IN	against
him	PP	him
amounted	VBD	amount
to	TO	to
a	DT	a
"	``	"
chilling	JJ	chilling
action	NN	action
by	IN	by
the	DT	the
government	NN	government
intended	VBD	intend
to	TO	to
shut	VB	shut
down	RP	down
debate	NN	debate
.	SENT	.
"	``	"
<h>
20	CD	@card@
Years	NPS	Years
Of	IN	of
Free	NP	Free
Journalism	NP	Journalism
<h>
Your	PP$	your
Support	NN	support
Fuels	VBZ	fuel
Our	PP$	our
Mission	NP	Mission
<h>
Your	PP$	your
Support	NN	support
Fuels	VBZ	fuel
Our	PP$	our
Mission	NP	Mission
<p>
For	IN	for
two	CD	two
decades	NNS	decade
,	,	,
HuffPost	NP	<unknown>
has	VBZ	have
been	VBN	be
fearless	JJ	fearless
,	,	,
unflinching	JJ	unflinching
,	,	,
and	CC	and
relentless	JJ	relentless
in	IN	in
pursuit	NN	pursuit
of	IN	of
the	DT	the
truth	NN	truth
.	SENT	.
Support	VB	support
our	PP$	our
mission	NN	mission
to	TO	to
keep	VB	keep
us	PP	us
around	RP	around
for	IN	for
the	DT	the
next	JJ	next
20	CD	@card@
--	:	--
we	PP	we
ca	MD	ca
n't	RB	n't
do	VB	do
this	DT	this
without	IN	without
you	PP	you
.	SENT	.
<p>
We	PP	we
remain	VBP	remain
committed	VBN	commit
to	TO	to
providing	VBG	provide
you	PP	you
with	IN	with
the	DT	the
unflinching	JJ	unflinching
,	,	,
fact-based	JJ	fact-based
journalism	NN	journalism
everyone	NN	everyone
deserves	VBZ	deserve
.	SENT	.
<p>
Thank	VB	thank
you	PP	you
again	RB	again
for	IN	for
your	PP$	your
support	NN	support
along	IN	along
the	DT	the
way	NN	way
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
truly	RB	truly
grateful	JJ	grateful
for	IN	for
readers	NNS	reader
like	IN	like
you	PP	you
!	SENT	!
Your	PP$	your
initial	JJ	initial
support	NN	support
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
kept	VBN	keep
us	PP	us
strong	JJ	strong
during	IN	during
uncertain	JJ	uncertain
times	NNS	time
.	SENT	.
Now	RB	now
as	IN	as
we	PP	we
continue	VBP	continue
,	,	,
we	PP	we
need	VBP	need
your	PP$	your
help	NN	help
more	RBR	more
than	IN	than
ever	RB	ever
.	SENT	.
We	PP	we
hope	VBP	hope
you	PP	you
will	MD	will
join	VB	join
us	PP	us
once	RB	once
again	RB	again
.	SENT	.
<p>
We	PP	we
remain	VBP	remain
committed	VBN	commit
to	TO	to
providing	VBG	provide
you	PP	you
with	IN	with
the	DT	the
unflinching	JJ	unflinching
,	,	,
fact-based	JJ	fact-based
journalism	NN	journalism
everyone	NN	everyone
deserves	VBZ	deserve
.	SENT	.
<p>
Thank	VB	thank
you	PP	you
again	RB	again
for	IN	for
your	PP$	your
support	NN	support
along	IN	along
the	DT	the
way	NN	way
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
truly	RB	truly
grateful	JJ	grateful
for	IN	for
readers	NNS	reader
like	IN	like
you	PP	you
!	SENT	!
Your	PP$	your
initial	JJ	initial
support	NN	support
helped	VBD	help
get	VB	get
us	PP	us
here	RB	here
and	CC	and
bolstered	VBD	bolster
our	PP$	our
newsroom	NN	newsroom
,	,	,
which	WDT	which
kept	VBD	keep
us	PP	us
strong	JJ	strong
during	IN	during
uncertain	JJ	uncertain
times	NNS	time
.	SENT	.
Now	RB	now
as	IN	as
we	PP	we
continue	VBP	continue
,	,	,
we	PP	we
need	VBP	need
your	PP$	your
help	NN	help
more	RBR	more
than	IN	than
ever	RB	ever
.	SENT	.
We	PP	we
hope	VBP	hope
you	PP	you
will	MD	will
join	VB	join
us	PP	us
once	RB	once
again	RB	again
.	SENT	.
<p>
Like	JJ	like
?	SENT	?
zt	NN	zt
?	SENT	?
rk	RB	<unknown>
,	,	,
Columbia	NP	Columbia
University	NP	University
graduate	NN	graduate
Mahmoud	NP	Mahmoud
Khalil	NP	Khalil
,	,	,
a	DT	a
permanent	JJ	permanent
legal	JJ	legal
resident	NN	resident
,	,	,
was	VBD	be
whisked	VBN	whisk
away	RB	away
to	TO	to
Louisiana	NP	Louisiana
after	IN	after
Rubio	NP	Rubio
revoked	VBD	revoke
his	PP$	his
green	JJ	green
card	NN	card
and	CC	and
had	VBD	have
him	PP	him
arrested	VBN	arrest
in	IN	in
New	NP	New
York	NP	York
.	SENT	.
Khalil	NP	Khalil
'	POS	'
s	NN	S
case	NN	case
is	VBZ	be
now	RB	now
before	IN	before
a	DT	a
district	NN	district
court	NN	court
judge	NN	judge
in	IN	in
New	NP	New
Jersey	NP	Jersey
,	,	,
where	WRB	where
he	PP	he
was	VBD	be
first	RB	first
taken	VBN	take
for	IN	for
detention	NN	detention
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
?	SENT	?
zt	NN	zt
?	SENT	?
rk	NNS	<unknown>
will	MD	will
now	RB	now
be	VB	be
free	JJ	free
to	TO	to
continue	VB	continue
her	PP$	her
studies	NNS	study
at	IN	at
Tufts	NP	Tufts
,	,	,
but	CC	but
remains	VBZ	remain
subject	JJ	subject
to	TO	to
removal	NN	removal
by	RB	by
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
to	TO	to
fight	VB	fight
that	DT	that
removal	NN	removal
and	CC	and
the	DT	the
revocation	NN	revocation
of	IN	of
her	PP$	her
student	NN	student
visa	NN	visa
free	JJ	free
from	IN	from
detention	NN	detention
.	SENT	.
