<p>
Photographers	NNS	photographer
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
demolition	NN	demolition
site	NN	site
,	,	,
'	''	'
Trump	NP	Trump
said	VBD	say
.	SENT	.
'	''	'
It	PP	it
'	POS	'
s	NN	S
a	DT	a
pure	JJ	pure
demolition	NN	demolition
site	NN	site
.	SENT	.
'	''	'
<p>
Trump	NP	Trump
suggested	VBD	suggest
finding	VBG	find
one	CD	one
or	CC	or
several	JJ	several
pieces	NNS	piece
of	IN	of
land	NN	land
'	''	'
and	CC	and
build	VB	build
them	PP	them
some	DT	some
really	RB	really
nice	JJ	nice
places	NNS	place
with	IN	with
plenty	NN	plenty
of	IN	of
money	NN	money
in	IN	in
the	DT	the
area	NN	area
.	SENT	.
'	''	'
<p>
'	''	'
I	PP	I
think	VBP	think
that	IN	that
would	MD	would
be	VB	be
a	DT	a
lot	NN	lot
better	RBR	well
than	IN	than
going	VBG	go
back	RB	back
to	TO	to
Gaza	NP	Gaza
,	,	,
'	''	'
he	PP	he
said	VBD	say
.	SENT	.
