_NAME_,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,loaded,factor,pole
v000070,-0.145924203,-0.102860492,-0.081563675,-0.086647024,0.0793140666,0.0059084656,-0.132662536,-0.098646285,-0.237977629,0,,
v000071,-0.095814296,-0.079903967,0.1265974927,-0.024035363,-0.138412414,0.0625108339,0.0751105214,-0.278891166,-0.258376597,0,,
v000072,0.4028425402,0.0425131387,0.1669394716,-0.042026543,0.0252166101,0.058121376,0.1072096816,0.0340771272,-0.032571529,1,fac1,1
v000073,-0.186287007,0.7238429645,-0.12136644,-0.070051515,-0.15191901,-0.042737201,-0.081533425,-0.052205047,-0.009628112,1,fac2,1
v000074,-0.087289952,0.6350767344,-0.128021316,0.1078516348,0.132268967,0.0769775931,0.0419790413,0.139021796,0.0022913348,1,fac2,1
v000075,0.2621849965,-0.135490619,-0.020732838,-0.137954618,0.0556206816,0.1221008152,-0.294426764,-0.07964891,0.0733488124,0,,
v000076,-0.114466418,0.7951725699,-0.08428892,0.0079295991,-0.024319825,0.2284086911,0.049088579,0.0527660653,0.0714059182,1,fac2,1
v000077,-0.111153868,-0.140859933,-0.114096062,0.2072965773,-0.28317299,-0.01091913,-0.614346172,-0.080897591,-0.445417019,1,fac7,-1
v000078,-0.19001094,-0.091186062,-0.018322218,-0.045795743,0.0862452089,-0.01063483,-0.172822448,0.8004731212,0.079200229,1,fac8,1
v000079,0.4575643417,-0.058232636,-0.153033465,0.0045590124,-0.15779563,-0.137727996,-0.028935671,-0.514154638,0.1729456383,1,fac8,-1
v000080,-0.03761753,-0.002820971,0.2313430907,0.0070452286,0.0441621021,0.0754959448,-0.028835277,-0.026854259,-0.054887542,0,,
v000081,0.2056003396,-0.256041367,0.2884071341,-0.125649874,-0.809867728,0.4463047935,0.0727563441,0.2364031821,0.1421313248,1,fac5,-1
v000082,0.1464464286,0.5887099218,-0.020772241,-0.173714238,-0.024662597,0.026085957,-0.061527619,-0.098271702,0.1217554916,1,fac2,1
v000083,0.0437194144,-0.100454472,0.6397264398,-0.215411185,-0.303618025,0.0667812998,-0.33005715,0.0381324616,0.0581699795,1,fac3,1
v000084,0.0231689771,0.2494059075,0.039677922,0.0331648326,0.0893981926,0.0371002112,0.0074900948,-0.016700114,0.2317138567,0,,
v000085,0.3274158134,0.0146167455,0.2070413056,0.0660744255,0.1211450652,0.0585861288,0.3024200461,0.0934245163,-0.042045607,1,fac1,1
v000086,0.1551796496,0.1475809045,-0.020650071,0.428467646,-0.223482834,-0.201086032,0.0169173823,-0.3438666,0.1071356324,1,fac4,1
v000087,0.095365002,0.5419076377,0.1326946459,-0.250162978,-0.177622553,-0.04237147,-0.059124618,-0.09200268,-0.159942345,1,fac2,1
v000088,0.1697013536,0.2944646999,0.0236854293,-0.061299817,-0.034151185,-0.061078593,-0.027356333,0.0413235578,0.0443046063,0,,
v000089,0.1084969986,-0.003036421,-0.130006086,0.1143273595,-0.091076401,0.1628541655,-0.398970351,0.1352726825,-0.18754798,1,fac7,-1
v000090,-0.202937243,-0.19325685,0.0065687095,0.2430351171,-0.002557598,0.0331232019,-0.337112956,0.1607545537,-0.341919043,1,fac9,-1
v000091,0.4940249028,0.0024738754,-0.066072839,-0.006672015,0.1805758572,-0.000967285,-0.138558618,-0.00942242,0.0829216313,1,fac1,1
v000092,0.3832111302,0.0068609939,-0.113632012,0.0503734032,0.0764865065,0.1177777618,0.119143486,-0.000414652,0.0256863985,1,fac1,1
v000093,-0.095612982,0.0112815741,0.0331339313,0.1303003078,-0.307690563,-0.092625821,-0.578177497,0.0148817948,-0.05809876,1,fac7,-1
v000094,-0.02256126,-0.234103663,-0.05585509,0.4198200331,-0.017622245,0.1002078199,0.2209798868,-0.065741084,-0.159031752,1,fac4,1
v000095,0.1420253013,0.2754233172,-0.045576953,-0.037017863,-0.066828915,0.0684281507,-0.063164601,0.0444848252,0.0168154957,0,,
v000096,0.4485392587,-0.134118705,0.1443665526,0.0677108937,0.0782634785,-0.123650529,-0.188214353,-0.189535042,0.1328046757,1,fac1,1
v000097,0.0834283461,0.4191580983,0.0084703144,-0.173525303,-0.001719793,0.0232730221,-0.1785817,0.0289375924,0.0244054041,1,fac2,1
v000098,0.2745023901,-0.052744045,-0.109477425,-0.038323865,0.2050280138,0.424063935,0.0514073753,-0.227305343,-0.092830303,1,fac6,1
v000099,0.0569960497,0.3194822133,-0.045119455,0.0172737103,-0.003703675,-0.043376393,-0.241364781,0.00803662,-0.016139351,1,fac2,1
v000100,-0.169630258,0.0676026797,0.2369978317,-0.092734683,0.0196909663,0.4059638033,-0.103942269,0.0090217574,-0.033237306,1,fac6,1
v000101,0.0229851831,0.1506405662,-0.096794294,-0.262003046,-0.045042991,0.9381607545,-0.206385593,-0.122425829,-0.018411633,1,fac6,1
v000102,0.0421438602,-0.277864797,-0.007758855,-0.503950307,0.6877084614,-0.265033756,0.1505377173,-0.262680199,0.1540085094,1,fac5,1
v000103,-0.333114365,0.7402044868,-0.05186776,-0.143793113,-0.478439773,-0.108235027,0.1078210916,-0.11664449,0.6028837099,1,fac2,1
v000104,0.3074961505,0.1680784898,-0.010639871,0.055106616,0.0922152108,0.1091270605,-0.047347519,-0.112298942,0.0123089473,1,fac1,1
v000105,0.4509415056,0.0888699802,-0.090385861,0.0044506064,0.0337579203,-0.058858091,0.05761944,-0.025162747,-0.026013257,1,fac1,1
v000106,0.2554520979,0.1377208193,-0.079960693,-0.092324268,0.1493865764,-0.092348856,-0.015262233,-0.033631836,-0.023581974,0,,
v000107,0.2361403297,0.3020246239,-0.116488778,0.0746443678,-0.112148355,-0.063988742,0.0398245459,-0.046395059,0.0124675372,1,fac2,1
v000108,-0.279106392,-0.090591931,0.1241720838,-0.132405475,0.2633488999,0.1758896503,-0.085305887,0.2978938786,-0.140064411,0,,
v000109,-0.052935354,0.5142313933,0.095802051,0.0241638802,-0.169633321,0.0426764052,-0.194145359,0.1343310936,-0.219974437,1,fac2,1
